id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
014a21ab-9b52-48f9-92e3-fefd0ae9ba6f,ghosts.xyz,resell,,,48,14,6,"Go Daddy, LLC",02/06/2014 17:11,02/06/2026 23:59
016bd2bb-06ff-4f6b-b470-33e451678822,struggle.xyz,resell,,,68,10,8,Dynadot LLC,12/01/2019 02:16,12/01/2027 23:59
0176446a-69ac-481b-af09-0bb64e63fd52,sympathy.xyz,resell,,,75,7,8,West263 International Limited,11/03/2020 20:40,11/03/2027 23:59
028076d4-8d26-4e33-a70b-70a416e14f1a,collapses.xyz,available,1.99,,38,1,9,name.com,,
02840949-0fed-4981-9129-6a52d2dc77bf,thedamn.xyz,available,1.99,,38,1,8,name.com,,
029c588e-eee6-41d3-ac94-c5a3f5e749e9,decay.xyz,resell,,,62,12,5,West263 International Limited,23/05/2020 20:59,23/05/2027 23:59
02cbb28d-5891-43dd-81d9-0719ed4b0ec5,mortgages.xyz,resell,,,50,16,9,"Go Daddy, LLC",02/06/2014 16:12,02/06/2026 23:59
03afb893-5014-4986-9ded-09f4eb6da8db,whiteboard.xyz,premium,118317.34,,74,20,10,West263 International Limited,29/03/2017 23:23,29/03/2027 23:59
03dabf87-24e7-440a-9d6e-0ef6726b55ac,congestion.xyz,resell,,,64,5,10,West263 International Limited,29/08/2021 18:20,29/08/2027 23:59
047689cf-231d-4f29-924c-80e99691a307,commonweal.xyz,resell,,,68,5,11,Dynadot LLC,27/06/2025 20:17,27/06/2026 23:59
04d166a7-2d63-4264-950a-588ccc2be912,retreat.xyz,resell,,,76,26,7,West263 International Limited,19/08/2020 08:13,19/08/2029 23:59
04e6be09-174b-48a9-bba3-dde297859e25,mistakenidentity.xyz,available,1.99,,52,2,17,name.com,,
0602e5c3-cd5f-47e9-8dc2-9a0c85c2cdee,goastray.xyz,available,1.99,,66,1,9,name.com,,
065e45e8-30a2-4f3b-b957-bbcfbf65c3d2,ebooks.xyz,resell,,,62,19,6,"Go Daddy, LLC",02/06/2014 16:19,02/06/2026 23:59
06a246fb-7fd2-4387-9cd6-e119d72120aa,yielded.xyz,resell,,,56,3,7,"Sav.com, LLC",29/07/2021 14:21,29/07/2026 23:59
072ced72-9269-467b-ac38-da8d678256d8,pegs.xyz,resell,,,48,8,4,West263 International Limited,02/08/2021 00:43,02/08/2027 23:59
07acfcbb-989a-412a-9f80-60160ae7f748,Iwish.xyz,resell,,,58,12,6,Dynadot LLC,30/11/2021 20:40,30/11/2026 23:59
07d0d78d-4bee-455c-9018-8be1db22c3a7,happens.xyz,resell,,,52,8,7,Squarespace Domains II LLC,13/07/2021 11:12,13/07/2032 23:59
07e5c4d7-afc0-4198-b959-99f8d73b2fae,shoveover.xyz,available,1.99,,59,1,10,name.com,,
